--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
089.706  000.039  000.039: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/plugin/shada.vim
089.707  000.070  000.031: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
089.756  000.011  000.011: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/plugin/spellfile.vim
089.758  000.048  000.037: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
089.832  000.042  000.042: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/plugin/tarPlugin.vim
089.833  000.074  000.032: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
089.903  000.037  000.037: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/plugin/tohtml.lua
089.904  000.069  000.032: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
089.964  000.025  000.025: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/plugin/tutor.vim
089.966  000.060  000.035: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
090.074  000.062  000.062: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/plugin/zipPlugin.vim
090.075  000.095  000.033: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
090.309  000.081  000.081: require('cmp_luasnip')
090.332  000.126  000.045: sourcing /Users/mattjennings/.local/share/nvim/lazy/cmp_luasnip/after/plugin/cmp_luasnip.lua
090.334  000.158  000.033: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
090.492  000.089  000.089: require('cmp_cmdline')
090.502  000.118  000.029: sourcing /Users/mattjennings/.local/share/nvim/lazy/cmp-cmdline/after/plugin/cmp_cmdline.lua
090.503  000.149  000.030: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
090.652  000.071  000.071: require('cmp_path')
090.660  000.112  000.040: sourcing /Users/mattjennings/.local/share/nvim/lazy/cmp-path/after/plugin/cmp_path.lua
090.662  000.143  000.031: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
091.004  000.085  000.085: require('cmp_buffer.timer')
091.006  000.147  000.062: require('cmp_buffer.buffer')
091.007  000.209  000.061: require('cmp_buffer.source')
091.008  000.265  000.057: require('cmp_buffer')
091.016  000.308  000.043: sourcing /Users/mattjennings/.local/share/nvim/lazy/cmp-buffer/after/plugin/cmp_buffer.lua
091.017  000.339  000.031: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
091.265  000.057  000.057: require('cmp_nvim_lsp.source')
091.266  000.151  000.094: require('cmp_nvim_lsp')
091.271  000.185  000.034: sourcing /Users/mattjennings/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
091.297  000.244  000.059: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
091.326  084.195  045.995: require('config.lazy')
091.355  000.020  000.020: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
091.370  085.359  000.100: sourcing /Users/mattjennings/.config/nvim/init.lua
091.375  000.673: sourcing vimrc file(s)
091.677  000.023  000.023: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/filetype.lua
091.873  000.031  000.031: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/syntax/synload.vim
091.909  000.154  000.123: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/syntax/syntax.vim
